,News,Comedy,Game-Show,Action,Sport,Horror,Thriller,Short,Crime,Talk-Show,Family,Documentary,Musical,Western,Drama,Adventure,History,Fantasy,Romance,War,Animation,Music,Adult,Sci-Fi,Film-Noir,Biography,Reality-TV,Mystery
Fantasy,0.0,0.5331610038976442,0.02608318376891174,0.35422728893280825,0.01884027797527997,0.45982116254404076,0.1291624383740626,0.20501881649782977,0.23418094171325965,0.0076915112752720186,0.35771729723901796,0.08701951648508215,0.11447180907117047,0.019609583040815472,0.6708832253586455,0.3901499666538739,0.14307037992324706,1.0,0.240905205691744,0.031243066495000194,0.3506603770495572,0.09544914477058468,0.11212208061192842,0.21211007143238772,0.005438719780317634,0.03768055595055994,0.05678190152259075,0.24774547657081036
Romance,0.006672006408545298,0.6511048758489112,0.10535293192838505,0.16777586742558764,0.09963430283789967,0.09245003270420486,0.13899568543591764,0.16984155512168936,0.16957925140512475,0.009435641951204965,0.1908629252115845,0.055018774314460395,0.15175453764585217,0.06683117167962997,0.7880879526313171,0.13878201015902486,0.13471285983857645,0.17062604684879698,1.0,0.11117786456327942,0.1610982164011611,0.13338451652932803,0.10300275676521754,0.09017499079491108,0.02001601922563589,0.0757794257534416,0.15302039787310112,0.1559975405849913
War,0.02449244830545123,0.3804879049205662,0.0,0.31333746014036457,0.03463755256929106,0.06927510513858212,0.15746441182629692,0.21352021408671187,0.07680377748491808,0.009999000149975004,0.07070360811132631,0.41828818653961564,0.05830368887105519,0.052909735512262815,0.7772253110669823,0.17886755233899762,0.4825488880042489,0.05743988276427456,0.2885885363823964,1.0,0.07999200119980003,0.06402484021039964,0.04122693376891377,0.05743988276427456,0.0,0.1526281131764841,0.0,0.06082154345271424
Animation,0.008121675340887527,0.633872349768724,0.03197506779215797,0.6569945087148231,0.07399198374452993,0.11571606154542438,0.04020024195695994,0.2820455673705816,0.12205052370123037,0.022487900731163205,0.3744347777431738,0.09366372924237966,0.06264755234959656,0.01240606400649112,0.35939369311785097,0.7167426420628944,0.061406883907769536,0.2137765243562143,0.13866437687784314,0.02652528058895875,1.0,0.09037834962412726,0.044853418102245066,0.13694920423572113,0.0,0.052320233459201906,0.027341633404355692,0.07712028612870962
Music,0.04002826522552691,0.59268236395466,0.23259386438445256,0.08005653045105382,0.046559276822636934,0.08237749022264344,0.0470626349845298,0.22063655658950937,0.10182130305998434,0.2754483963261409,0.2733014548125184,0.49716443838391233,0.15273195458997652,0.11404647100845174,0.4778308669576827,0.07329590910942568,0.12318426769571088,0.12047659050440648,0.23770422540363226,0.043956108688624644,0.18712064986535304,1.0,0.03567049961640671,0.05448758818969234,0.013729581703773907,0.25547722895516317,0.22476293931127003,0.06548593103143394
Adult,0.037037037037037035,0.4087824972599647,0.0,0.1367683233103697,0.05117402071909314,0.20711860605023164,0.10884329882319604,0.138129235668458,0.21996610062035118,0.019341961772855316,0.0,0.11712139482105108,0.041783412949464166,0.06792673737990577,0.37638218484800323,0.13767709293104965,0.05355546707268305,0.23021539278076336,0.2986021388258722,0.046043078556152674,0.15106555066784214,0.058025885318565944,1.0,0.13947686988018843,0.0,0.04026350418552659,0.041783412949464166,0.10941465864829576
Sci-Fi,0.012066305532015329,0.4247842280247101,0.00696648474703332,0.46659848590805186,0.02786593898813328,0.390060940117799,0.3277951313605107,0.31209540661376345,0.14794556866808212,0.024132611064030658,0.2264911225308728,0.1426003863148395,0.054854155752323545,0.03940838884527929,0.558058477887011,0.3704047904773123,0.14876340557131462,0.2716929051342995,0.16308122679326106,0.04001940805548454,0.28774196426744103,0.055294758458924634,0.08701136660219211,1.0,0.0,0.030366203004035756,0.03686317230594976,0.3105364787505606
Film-Noir,0.0,0.1393068293159525,0.0,0.1013606067599229,0.1013606067599229,0.10684346079267205,0.22664920695581228,0.0,0.895830014860584,0.0,0.0,0.0,0.0,0.0,0.9538434628376784,0.0827605888602368,0.0,0.033786868919974296,0.17556172079419585,0.0,0.0,0.06757373783994859,0.0,0.0,1.0,0.04778184825674966,0.0,0.2846932178863808
Biography,0.05346693912025916,0.23865114819179067,0.01961700354099557,0.17655303186896013,0.19714844564609355,0.049182430702737506,0.061141784051574305,0.14754729210821252,0.3394527173756307,0.05695208869582337,0.12384707447479257,0.6925346042760939,0.07488308644489768,0.03477723026514314,0.6789054347512614,0.1891795311265234,0.4934981325364184,0.05136937350561654,0.1458609819597886,0.11317789467855575,0.1169993163312936,0.2759361097582177,0.02673346956012958,0.03231918875091572,0.010485729457933805,1.0,0.0399284682005486,0.06548335947654374
Reality-TV,0.06727341686913788,0.29311353493643544,0.5800307201666931,0.1113966427458074,0.11494416482699213,0.09684990643295491,0.09778748789113031,0.05731309986159447,0.1349531159928763,0.07374384501216355,0.18970164691854266,0.3456781916296244,0.017087464972234536,0.028336354965621306,0.08919918588520064,0.2920532207700869,0.12217836183400735,0.06307334921574474,0.23998613047993161,0.0,0.04981809312897684,0.1978017076007279,0.022604591426529895,0.031967719767301166,0.0,0.03253356404573384,1.0,0.17457252017896488
Mystery,0.009074051513445923,0.25821217670920504,0.029403287471319213,0.1869012327702344,0.020791263960147268,0.3611996844148787,0.35715932444539,0.13413032011743073,0.7364670372763794,0.006416323357993666,0.09581614066459122,0.17548380456578513,0.04108451560877577,0.028694670388187113,0.8507739919295623,0.16786995299874957,0.11066995354076326,0.20667135901745717,0.18373553944774756,0.027597650271992354,0.10552852728048302,0.04328046727176415,0.044453592215343916,0.20224145371068697,0.03822965855090647,0.04006992652774734,0.1311035593293901,1.0
